11.6100 	EXP 	image_2: autoDraw = False
11.6100 	EXP 	Arousalimage: autoDraw = False
11.6100 	EXP 	slider_arousal: autoDraw = False
11.6100 	EXP 	text_2: autoDraw = False
11.6100 	EXP 	text_4: autoDraw = False
11.6100 	EXP 	text_6: text = 'divorce'
11.6100 	EXP 	image_1: image = None
11.6100 	EXP 	slider_valence: markerPos = None
11.6100 	EXP 	slider_valence: markerPos = None
11.6100 	EXP 	slider_valence: rating = None
11.6100 	EXP 	text_6: autoDraw = True
11.6100 	EXP 	image_1: autoDraw = True
11.6100 	EXP 	ValenceImg: autoDraw = True
11.6100 	EXP 	slider_valence: autoDraw = True
11.6100 	EXP 	text: autoDraw = True
11.6100 	EXP 	text_3: autoDraw = True
11.7841 	DATA 	Keypress: space
11.8005 	EXP 	text_6: autoDraw = False
11.8005 	EXP 	image_1: autoDraw = False
11.8005 	EXP 	ValenceImg: autoDraw = False
11.8005 	EXP 	slider_valence: autoDraw = False
11.8005 	EXP 	text: autoDraw = False
11.8005 	EXP 	text_3: autoDraw = False
11.8005 	EXP 	text_5: text = 'divorce'
11.8005 	EXP 	image_2: image = None
11.8005 	EXP 	slider_arousal: markerPos = None
11.8005 	EXP 	slider_arousal: markerPos = None
11.8005 	EXP 	slider_arousal: rating = None
11.8005 	EXP 	text_5: autoDraw = True
11.8005 	EXP 	image_2: autoDraw = True
11.8005 	EXP 	Arousalimage: autoDraw = True
11.8005 	EXP 	slider_arousal: autoDraw = True
11.8005 	EXP 	text_2: autoDraw = True
11.8005 	EXP 	text_4: autoDraw = True
11.9882 	DATA 	Keypress: space
12.0029 	EXP 	New trial (rep=0, index=6): OrderedDict([('words', None), ('images', 'Pictures/1050.jpg')])
12.0470 	EXP 	text_5: autoDraw = False
12.0470 	EXP 	image_2: autoDraw = False
12.0470 	EXP 	Arousalimage: autoDraw = False
12.0470 	EXP 	slider_arousal: autoDraw = False
12.0470 	EXP 	text_2: autoDraw = False
12.0470 	EXP 	text_4: autoDraw = False
12.0470 	EXP 	text_6: text = 'divorce'
12.0470 	EXP 	image_1: image = 'Pictures/1050.jpg'
12.0470 	EXP 	slider_valence: markerPos = None
12.0470 	EXP 	slider_valence: markerPos = None
12.0470 	EXP 	slider_valence: rating = None
12.0470 	EXP 	text_6: autoDraw = True
12.0470 	EXP 	image_1: autoDraw = True
12.0470 	EXP 	ValenceImg: autoDraw = True
12.0470 	EXP 	slider_valence: autoDraw = True
12.0470 	EXP 	text: autoDraw = True
12.0470 	EXP 	text_3: autoDraw = True
12.2176 	DATA 	Keypress: space
12.2588 	EXP 	text_6: autoDraw = False
12.2588 	EXP 	image_1: autoDraw = False
12.2588 	EXP 	ValenceImg: autoDraw = False
12.2588 	EXP 	slider_valence: autoDraw = False
12.2588 	EXP 	text: autoDraw = False
12.2588 	EXP 	text_3: autoDraw = False
12.2588 	EXP 	text_5: text = 'divorce'
12.2588 	EXP 	image_2: image = 'Pictures/1050.jpg'
12.2588 	EXP 	slider_arousal: markerPos = None
12.2588 	EXP 	slider_arousal: markerPos = None
12.2588 	EXP 	slider_arousal: rating = None
12.2588 	EXP 	text_5: autoDraw = True
